day,Date,time,open,high,low,close,index
Friday,2020-01-10,15:00:00,1.1101,1.1118,1.1097,1.1113,125
Friday,2020-01-10,16:00:00,1.1113,1.1121,1.1109,1.1118,124
Friday,2020-01-10,17:00:00,1.1118,1.1129,1.1117,1.1122,123
Friday,2020-01-10,18:00:00,1.1122,1.1123,1.1117,1.1119,122
Friday,2020-01-10,19:00:00,1.1119,1.1123,1.1115,1.1122,121
Friday,2020-01-10,20:00:00,1.1122,1.1122,1.1118,1.1121,120
Friday,2020-01-10,21:00:00,1.1121,1.1122,1.1116,1.1118,119
Friday,2020-01-10,22:00:00,1.1121,1.1121,1.112,1.112,118
Friday,2020-01-10,23:00:00,1.112,1.112,1.112,1.112,117
Friday,2020-01-17,00:00:00,1.1137,1.1139,1.1133,1.1138,20
Friday,2020-01-17,01:00:00,1.1138,1.1139,1.1133,1.1137,19
Friday,2020-01-17,02:00:00,1.1137,1.1143,1.1134,1.1136,18
Friday,2020-01-17,03:00:00,1.1136,1.1138,1.1129,1.1131,17
Friday,2020-01-17,04:00:00,1.1131,1.1134,1.1128,1.1132,16
Friday,2020-01-17,05:00:00,1.1132,1.1138,1.113,1.1137,15
Friday,2020-01-17,06:00:00,1.1137,1.114,1.1133,1.114,14
Friday,2020-01-17,07:00:00,1.114,1.1141,1.1133,1.1136,13
Friday,2020-01-17,08:00:00,1.1136,1.114,1.1132,1.1136,12
Friday,2020-01-17,09:00:00,1.1136,1.1138,1.1123,1.1127,11
Friday,2020-01-17,10:00:00,1.1127,1.1128,1.1114,1.1116,10
Friday,2020-01-17,11:00:00,1.1116,1.1116,1.1105,1.1112,9
Friday,2020-01-17,12:00:00,1.1112,1.1115,1.1104,1.111,8
Friday,2020-01-17,13:00:00,1.111,1.1112,1.1097,1.11,7
Friday,2020-01-17,14:00:00,1.11,1.1106,1.1094,1.11,6
Friday,2020-01-17,15:00:00,1.11,1.1103,1.1084,1.1094,5
Friday,2020-01-17,16:00:00,1.1094,1.1096,1.1087,1.1092,4
Friday,2020-01-17,17:00:00,1.109,1.1095,1.1086,1.1091,3
Friday,2020-01-17,18:00:00,1.1091,1.1094,1.1089,1.1093,2
Friday,2020-01-17,19:00:00,1.1093,1.1095,1.1089,1.1093,1
Friday,2020-01-17,20:00:00,1.1093,1.1093,1.1091,1.1093,0
Monday,2020-01-06,00:00:00,1.116,1.1168,1.1159,1.1163,236
Monday,2020-01-06,01:00:00,1.1163,1.1165,1.116,1.1163,235
Monday,2020-01-06,02:00:00,1.1163,1.1167,1.1161,1.1165,234
Monday,2020-01-06,03:00:00,1.1165,1.1171,1.1164,1.1166,233
Monday,2020-01-06,04:00:00,1.1166,1.1166,1.116,1.1164,232
Monday,2020-01-06,05:00:00,1.1164,1.1165,1.1159,1.1161,231
Monday,2020-01-06,06:00:00,1.1162,1.1163,1.1155,1.116,230
Monday,2020-01-06,07:00:00,1.1161,1.1167,1.1158,1.1165,229
Monday,2020-01-06,08:00:00,1.1165,1.118,1.1162,1.1179,228
Monday,2020-01-06,09:00:00,1.1179,1.1194,1.1174,1.1193,227
Monday,2020-01-06,10:00:00,1.1193,1.12,1.1188,1.1196,226
Monday,2020-01-06,11:00:00,1.1196,1.1205,1.1195,1.1203,225
