Date, Time, Open, High, Low, Last, Volume, OpenInterest
2017/8/17, 00:00:00, 26486, 26696, 26335, 26372, 133329, 148034
2017/8/18, 00:00:00, 26361, 26399, 26026, 26134, 108065, 147470
2017/8/21, 00:00:00, 26124, 26301, 26053, 26260, 106385, 147947
2017/8/22, 00:00:00, 26262, 26597, 26232, 26531, 99221, 138059
2017/8/24, 00:00:00, 26619, 26702, 26567, 26627, 174562, 114079
2017/8/25, 00:00:00, 26635, 27028, 26535, 27028, 186750, 69714
2017/8/28, 00:00:00, 27021, 27173, 26925, 26994, 124891, 30011
2017/8/29, 00:00:00, 26998, 27087, 26761, 26825, 20954, 19240
2017/8/30, 00:00:00, 26819, 27219, 26776, 27190, 104355, 146212
2017/8/31, 00:00:00, 27186, 27225, 27031, 27148, 101179, 145902
2017/9/1, 00:00:00, 27153, 27261, 27062, 27080, 109967, 147571
2017/9/4, 00:00:00, 27074, 27179, 26822, 26967, 102108, 147982
2017/9/5, 00:00:00, 26970, 27035, 26839, 26922, 130068, 148139
2017/9/6, 00:00:00, 26916, 26961, 26561, 26796, 122509, 146810
2017/9/7, 00:00:00, 26786, 26999, 26641, 26689, 103650, 147781
2017/9/8, 00:00:00, 26697, 26896, 26697, 26887, 100404, 149750
2017/9/11, 00:00:00, 26890, 27208, 26847, 27152, 96432, 146195
2017/9/12, 00:00:00, 27169, 27245, 27068, 27138, 95390, 144408
2017/9/13, 00:00:00, 27133, 27194, 26922, 27074, 96590, 143166
2017/9/14, 00:00:00, 27067, 27081, 26877, 26989, 153184, 143638
2017/9/15, 00:00:00, 26986, 27124, 26668, 26987, 102184, 144721
2017/9/18, 00:00:00, 26992, 27379, 26962, 27372, 109293, 142545
2017/9/19, 00:00:00, 27372, 27436, 27225, 27246, 83321, 140111
2017/9/20, 00:00:00, 27246, 27340, 27205, 27335, 96763, 139909
2017/9/21, 00:00:00, 27326, 27386, 27246, 27340, 110899, 132483
2017/9/22, 00:00:00, 27340, 27350, 26982, 26995, 186040, 102532
2017/9/25, 00:00:00, 27006, 27106, 26674, 26686, 197233, 61005
2017/9/26, 00:00:00, 26686, 26795, 26500, 26778, 107703, 29158
2017/9/27, 00:00:00, 26784, 26896, 26657, 26861, 21886, 20469
2017/9/28, 00:00:00, 26861, 26874, 26504, 26515, 103636, 134194
2017/9/29, 00:00:00, 26532, 26774, 26476, 26747, 113173, 134500
2017/10/3, 00:00:00, 26745, 27380, 26715, 27380, 88072, 135586
2017/10/4, 00:00:00, 27377, 27746, 27373, 27566, 82477, 134488
2017/10/6, 00:00:00, 27557, 27855, 27512, 27667, 102869, 133616
2017/10/9, 00:00:00, 27666, 27707, 27487, 27579, 93965, 134154
2017/10/10, 00:00:00, 27576, 27704, 27476, 27667, 102735, 133506
2017/10/11, 00:00:00, 27672, 27840, 27506, 27546, 92310, 134328
2017/10/12, 00:00:00, 27550, 27774, 27457, 27671, 77479, 134438
2017/10/13, 00:00:00, 27670, 27744, 27588, 27690, 97434, 138005
2017/10/16, 00:00:00, 27702, 28043, 27698, 27950, 78006, 136374
2017/10/17, 00:00:00, 27947, 27995, 27869, 27935, 70314, 136532
2017/10/18, 00:00:00, 27936, 27956, 27842, 27909, 154028, 134770
2017/10/19, 00:00:00, 27920, 28007, 27289, 27459, 125383, 138031
2017/10/20, 00:00:00, 27466, 27763, 27411, 27651, 111842, 135991
2017/10/23, 00:00:00, 27652, 27782, 27445, 27554, 143714, 126746
2017/10/24, 00:00:00, 27549, 27597, 27304, 27394, 164376, 98320
2017/10/25, 00:00:00, 27397, 27595, 27378, 27517, 173242, 58031
2017/10/26, 00:00:00, 27510, 27533, 27262, 27502, 136520, 29959
2017/10/27, 00:00:00, 27497, 27720, 27483, 27664, 24218, 15609
2017/10/30, 00:00:00, 27664, 27859, 27482, 27514, 101602, 126793
2017/10/31, 00:00:00, 27514, 27575, 27391, 27431, 118869, 130713
2017/11/1, 00:00:00, 27439, 27847, 27405, 27808, 115174, 132157
2017/11/2, 00:00:00, 27809, 27888, 27675, 27778, 84930, 129924
2017/11/3, 00:00:00, 27762, 27843, 27699, 27799, 170879, 130308
2017/11/6, 00:00:00, 27795, 27865, 27318, 27843, 125210, 134749
2017/11/7, 00:00:00, 27840, 28256, 27786, 28205, 136084, 134776
2017/11/8, 00:00:00, 28202, 28360, 28059, 28180, 132486, 136072
2017/11/9, 00:00:00, 28172, 28401, 28101, 28357, 136179, 134974
2017/11/10, 00:00:00, 28344, 28410, 28167, 28300, 98993, 134948
2017/11/13, 00:00:00, 28292, 28458, 28215, 28418, 105509, 133514
2017/11/14, 00:00:00, 28418, 28506, 28313, 28408, 130943, 134694
2017/11/15, 00:00:00, 28406, 28406, 28098, 28118, 115187, 134758
