,index,date,open,high,low,close,Day of Week
26,89,2020-01-13 02:00:00,1.112,1.1126,1.1118,1.1126,Monday
27,88,2020-01-13 03:00:00,1.1126,1.113,1.1124,1.1129,Monday
28,87,2020-01-13 04:00:00,1.1129,1.1131,1.1126,1.1127,Monday
29,86,2020-01-13 05:00:00,1.1126,1.1132,1.1125,1.1129,Monday
30,85,2020-01-13 06:00:00,1.113,1.113,1.1123,1.1129,Monday
31,84,2020-01-13 07:00:00,1.1129,1.113,1.112,1.1123,Monday
32,83,2020-01-13 08:00:00,1.1123,1.113,1.1119,1.1128,Monday
33,82,2020-01-13 09:00:00,1.1128,1.1136,1.1113,1.1115,Monday
34,81,2020-01-13 10:00:00,1.1115,1.112,1.1111,1.1117,Monday
35,80,2020-01-13 11:00:00,1.1117,1.1124,1.1115,1.112,Monday
36,79,2020-01-13 12:00:00,1.112,1.1126,1.1117,1.1125,Monday
37,78,2020-01-13 13:00:00,1.1124,1.1128,1.1117,1.1119,Monday
38,77,2020-01-13 14:00:00,1.1119,1.1127,1.1116,1.1124,Monday
39,76,2020-01-13 15:00:00,1.1124,1.1138,1.1119,1.1133,Monday
40,75,2020-01-13 16:00:00,1.1133,1.1147,1.1131,1.1137,Monday
41,74,2020-01-13 17:00:00,1.1137,1.1142,1.1134,1.1139,Monday
42,73,2020-01-13 18:00:00,1.114,1.1145,1.1137,1.1139,Monday
43,72,2020-01-13 19:00:00,1.114,1.1141,1.1136,1.1137,Monday
44,71,2020-01-13 20:00:00,1.1138,1.1139,1.1134,1.1138,Monday
45,70,2020-01-13 21:00:00,1.1138,1.1138,1.1132,1.1134,Monday
46,69,2020-01-13 22:00:00,1.1134,1.1139,1.113,1.1135,Monday
47,68,2020-01-13 23:00:00,1.1135,1.1137,1.1132,1.1134,Monday
48,387,2019-12-31 16:00:00,1.1224,1.1231,1.1215,1.1226,Tuesday
49,386,2019-12-31 17:00:00,1.1226,1.1229,1.1221,1.1229,Tuesday
50,385,2019-12-31 18:00:00,1.1229,1.1229,1.1221,1.1223,Tuesday
