Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/5/28, 00:00:00, 30072, 30275, 29325, 29926, 940013, 108242
2018/6/4, 00:00:00, 29908, 31075, 29895, 30371, 938000, 112253
2018/6/11, 00:00:00, 30377, 30768, 29751, 29789, 1039460, 115330
2018/6/19, 00:00:00, 29791, 29826, 28538, 28866, 1077363, 97425
2018/6/25, 00:00:00, 28872, 28984, 27677, 28439, 1346049, 108651
2018/7/3, 00:00:00, 28426, 28468, 27433, 27933, 1020417, 109318
2018/7/9, 00:00:00, 27903, 28726, 27605, 28271, 1044553, 106003
2018/7/16, 00:00:00, 28261, 28415, 27445, 27937, 1058751, 106358
2018/7/23, 00:00:00, 27951, 28826, 27732, 28458, 981000, 95665
2018/7/30, 00:00:00, 28442, 28567, 27183, 27352, 1052492, 101524
2018/8/6, 00:00:00, 27348, 28398, 27348, 27952, 980242, 96974
2018/8/13, 00:00:00, 27960, 28005, 26381, 26875, 1131369, 98966
2018/8/20, 00:00:00, 26874, 27721, 26614, 27334, 1010405, 80006
2018/8/27, 00:00:00, 27333, 28305, 27259, 27550, 905985, 98987
2018/9/3, 00:00:00, 27532, 27735, 26369, 26620, 1266492, 107796
2018/9/10, 00:00:00, 26643, 27130, 25805, 27040, 1274923, 108042
2018/9/17, 00:00:00, 27050, 27767, 26390, 27725, 1236954, 81236
2018/9/24, 00:00:00, 27730, 27836, 27173, 27664, 871627, 106364
2018/10/2, 00:00:00, 27661, 27661, 26030, 26246, 881814, 112389
2018/10/8, 00:00:00, 26246, 26558, 24867, 25477, 1392151, 118837
2018/10/15, 00:00:00, 25463, 25564, 24833, 25245, 1120745, 120391
2018/10/22, 00:00:00, 25261, 26009, 24313, 24444, 1648206, 37069
2018/10/29, 00:00:00, 24421, 26301, 24257, 26292, 1438513, 126055
2018/11/5, 00:00:00, 26285, 26557, 25206, 25264, 1239946, 122732
2018/11/12, 00:00:00, 25260, 25992, 24805, 25914, 1352052, 131701
2018/11/19, 00:00:00, 25906, 26177, 25213, 25694, 1173620, 102806
2018/11/26, 00:00:00, 25675, 26728, 25571, 26306, 1150527, 123860
2018/12/3, 00:00:00, 26300, 27104, 25589, 25850, 1075314, 123753
2018/12/10, 00:00:00, 25871, 26401, 25178, 25815, 977739, 117597
2018/12/17, 00:00:00, 25803, 26006, 25082, 25432, 1076316, 72591
2018/12/24, 00:00:00, 25420, 25726, 24959, 25318, 414194, 113596
2018/12/31, 00:00:00, 25337, 25749, 24625, 25350, 850664, 112230
2019/1/7, 00:00:00, 25349, 26495, 25337, 26445, 1041253, 109440
2019/1/14, 00:00:00, 26455, 26893, 25913, 26849, 1037530, 110257
2019/1/21, 00:00:00, 26851, 27367, 26584, 27351, 1071236, 69995
2019/1/28, 00:00:00, 27367, 27994, 27073, 27656, 758785, 115175
2019/2/4, 00:00:00, 27649, 27754, 27244, 27745, 257369, 117974
2019/2/11, 00:00:00, 27751, 28303, 27552, 27661, 870930, 124889
2019/2/18, 00:00:00, 27674, 28658, 27673, 28600, 1131211, 80641
2019/2/25, 00:00:00, 28660, 28910, 28335, 28502, 1070952, 122647
